area,row,col,x,y
2,8,2,1148.4,761.0
2,8,1,1166.0,761.0
2,9,30,656.0,667.0
2,9,29,673.6,667.0
2,9,28,691.2,667.0
2,9,27,708.8,667.0
2,9,26,726.3,667.0
2,9,25,743.9,667.0
2,9,24,761.5,667.0
2,9,23,779.1,667.0
2,9,22,796.7,667.0
2,9,21,814.3,667.0
2,9,20,831.9,667.0
2,9,19,849.4,667.0
2,9,18,867.0,667.0
2,9,17,884.6,667.0
2,9,16,902.2,667.0
2,9,15,919.8,667.0
2,9,14,937.4,667.0
2,9,13,955.0,667.0
2,9,12,972.6,667.0
2,9,11,990.1,667.0
2,9,10,1007.7,667.0
2,9,9,1025.3,667.0
2,9,8,1042.9,667.0
2,9,7,1060.5,667.0
2,9,6,1078.1,667.0
2,9,5,1095.7,667.0
2,9,4,1113.2,667.0
2,9,3,1130.8,667.0
2,9,2,1148.4,667.0
2,9,1,1166.0,667.0
2,10,30,656.0,622.0
2,10,29,673.6,622.0
2,10,28,691.2,622.0
2,10,27,708.8,622.0
2,10,26,726.3,622.0
2,10,25,743.9,622.0
2,10,24,761.5,622.0
2,10,23,779.1,622.0
2,10,22,796.7,622.0
2,10,21,814.3,622.0
2,10,20,831.9,622.0
2,10,19,849.4,622.0
2,10,18,867.0,622.0
2,10,17,884.6,622.0
2,10,16,902.2,622.0
2,10,15,919.8,622.0
2,10,14,937.4,622.0
2,10,13,955.0,622.0
2,10,12,972.6,622.0
2,10,11,990.1,622.0
2,10,10,1007.7,622.0
2,10,9,1025.3,622.0
2,10,8,1042.9,622.0
2,10,7,1060.5,622.0
2,10,6,1078.1,622.0
2,10,5,1095.7,622.0
2,10,4,1113.2,622.0
2,10,3,1130.8,622.0
2,10,2,1148.4,622.0
2,10,1,1166.0,622.0
2,11,30,656.0,600.0
2,11,29,673.6,600.0
2,11,28,691.2,600.0
2,11,27,708.8,600.0
2,11,26,726.3,600.0
2,11,25,743.9,600.0
2,11,24,761.5,600.0
2,11,23,779.1,600.0
2,11,22,796.7,600.0
2,11,21,814.3,600.0
2,11,20,831.9,600.0
2,11,19,849.4,600.0
2,11,18,867.0,600.0
2,11,17,884.6,600.0
2,11,16,902.2,600.0
2,11,15,919.8,600.0
2,11,14,937.4,600.0
2,11,13,955.0,600.0
2,11,12,972.6,600.0
2,11,11,990.1,600.0
2,11,10,1007.7,600.0
2,11,9,1025.3,600.0
2,11,8,1042.9,600.0
2,11,7,1060.5,600.0
2,11,6,1078.1,600.0
2,11,5,1095.7,600.0
2,11,4,1113.2,600.0
2,11,3,1130.8,600.0
2,11,2,1148.4,600.0
2,11,1,1166.0,600.0
2,12,30,656.0,578.0
2,12,29,673.6,578.0
2,12,28,691.2,578.0
2,12,27,708.8,578.0
2,12,26,726.3,578.0
2,12,25,743.9,578.0
2,12,24,761.5,578.0
2,12,23,779.1,578.0
2,12,22,796.7,578.0
2,12,21,814.3,578.0
2,12,20,831.9,578.0
2,12,19,849.4,578.0
2,12,18,867.0,578.0
2,12,17,884.6,578.0
2,12,16,902.2,578.0
2,12,15,919.8,578.0
2,12,14,937.4,578.0
2,12,13,955.0,578.0
2,12,12,972.6,578.0
2,12,11,990.1,578.0
2,12,10,1007.7,578.0
2,12,9,1025.3,578.0
2,12,8,1042.9,578.0
2,12,7,1060.5,578.0
2,12,6,1078.1,578.0
2,12,5,1095.7,578.0
2,12,4,1113.2,578.0
2,12,3,1130.8,578.0
2,12,2,1148.4,578.0
2,12,1,1166.0,578.0
2,13,30,656.0,534.0
2,13,29,673.6,534.0
2,13,28,691.2,534.0
2,13,27,708.8,534.0
2,13,26,726.3,534.0
2,13,25,743.9,534.0
2,13,24,761.5,534.0
2,13,23,779.1,534.0
2,13,22,796.7,534.0
2,13,21,814.3,534.0
2,13,20,831.9,534.0
2,13,19,849.4,534.0
2,13,18,867.0,534.0
2,13,17,884.6,534.0
2,13,16,902.2,534.0
2,13,15,919.8,534.0
2,13,14,937.4,534.0
2,13,13,955.0,534.0
2,13,12,972.6,534.0
2,13,11,990.1,534.0
2,13,10,1007.7,534.0
2,13,9,1025.3,534.0
2,13,8,1042.9,534.0
2,13,7,1060.5,534.0
2,13,6,1078.1,534.0
2,13,5,1095.7,534.0
2,13,4,1113.2,534.0
2,13,3,1130.8,534.0
2,13,2,1148.4,534.0
2,13,1,1166.0,534.0
2,14,30,656.0,511.0
2,14,29,673.6,511.0
2,14,28,691.2,511.0
2,14,27,708.8,511.0
2,14,26,726.3,511.0
2,14,25,743.9,511.0
2,14,24,761.5,511.0
2,14,23,779.1,511.0
2,14,22,796.7,511.0
2,14,21,814.3,511.0
2,14,20,831.9,511.0
2,14,19,849.4,511.0
2,14,18,867.0,511.0
2,14,17,884.6,511.0
2,14,16,902.2,511.0
2,14,15,919.8,511.0
2,14,14,937.4,511.0
2,14,13,955.0,511.0
2,14,12,972.6,511.0
2,14,11,990.1,511.0
2,14,10,1007.7,511.0
2,14,9,1025.3,511.0
2,14,8,1042.9,511.0
2,14,7,1060.5,511.0
2,14,6,1078.1,511.0
2,14,5,1095.7,511.0
2,14,4,1113.2,511.0
2,14,3,1130.8,511.0
2,14,2,1148.4,511.0
2,14,1,1166.0,511.0
2,15,25,744.0,489.0
2,15,24,761.7,489.0
2,15,23,779.4,489.0
2,15,22,797.1,489.0
2,15,21,814.8,489.0
2,15,20,832.5,489.0
2,15,19,850.2,489.0
2,15,18,868.0,489.0
2,15,17,885.7,489.0
